time,open,high,low,close,tick_volume,spread,real_volume
2026-02-19 02:00:00,4973.119,4977.218,4971.072,4976.994,693,160,0
2026-02-19 02:05:00,4977.104,4977.257,4973.937,4975.744,464,160,0
2026-02-19 02:10:00,4975.835,4975.886,4972.612,4974.278,421,176,0
2026-02-19 02:15:00,4974.101,4974.819,4965.694,4969.958,724,176,0
2026-02-19 02:20:00,4969.686,4971.207,4967.978,4968.957,459,160,0
2026-02-19 02:25:00,4968.975,4973.946,4968.873,4972.75,487,240,0
2026-02-19 02:30:00,4972.688,4973.165,4968.975,4970.549,474,240,0
2026-02-19 02:35:00,4970.453,4972.432,4968.627,4972.114,446,240,0
2026-02-19 02:40:00,4972.145,4973.361,4970.587,4971.442,328,176,0
2026-02-19 02:45:00,4971.434,4972.419,4970.881,4971.945,326,240,0
2026-02-19 02:50:00,4971.982,4973.241,4970.091,4972.63,351,240,0
2026-02-19 02:55:00,4972.618,4973.297,4967.537,4968.32,432,160,0
2026-02-19 03:00:00,4968.243,4968.567,4966.434,4967.631,445,240,0
2026-02-19 03:05:00,4967.607,4969.74,4966.565,4969.74,442,240,0
2026-02-19 03:10:00,4969.664,4971.036,4968.266,4969.642,377,240,0
2026-02-19 03:15:00,4969.705,4970.716,4967.931,4970.636,312,160,0
2026-02-19 03:20:00,4970.704,4971.814,4967.046,4968.568,374,240,0
2026-02-19 03:25:00,4968.576,4970.14,4967.871,4969.71,415,240,0
2026-02-19 03:30:00,4969.785,4978.992,4969.785,4976.695,736,160,0
2026-02-19 03:35:00,4976.8,4978.092,4975.02,4975.351,480,240,0
2026-02-19 03:40:00,4975.377,4977.512,4973.896,4977.095,451,160,0
2026-02-19 03:45:00,4976.992,4982.269,4976.897,4981.823,539,160,0
2026-02-19 03:50:00,4981.82,4983.571,4980.622,4982.075,497,240,0
2026-02-19 03:55:00,4982.075,4982.589,4980.821,4981.823,370,240,0
2026-02-19 04:00:00,4981.698,4981.737,4978.711,4980.615,378,176,0
2026-02-19 04:05:00,4980.701,4983.516,4980.36,4982.699,419,240,0
2026-02-19 04:10:00,4982.702,4984.919,4981.362,4981.812,368,160,0
2026-02-19 04:15:00,4981.755,4981.814,4979.431,4980.486,324,240,0
2026-02-19 04:20:00,4980.307,4982.4,4977.99,4982.365,337,160,0
2026-02-19 04:25:00,4982.195,4983.266,4979.935,4980.052,311,240,0
2026-02-19 04:30:00,4980.041,4985.457,4979.855,4984.266,351,240,0
2026-02-19 04:35:00,4984.507,4984.589,4981.413,4981.413,345,240,0
2026-02-19 04:40:00,4981.421,4981.869,4979.505,4980.641,409,240,0
2026-02-19 04:45:00,4980.724,4981.055,4976.948,4979.172,484,176,0
2026-02-19 04:50:00,4979.185,4982.137,4977.033,4982.025,365,240,0
2026-02-19 04:55:00,4982.098,4985.192,4982.098,4984.193,392,176,0
2026-02-19 05:00:00,4984.189,4988.758,4984.189,4988.036,429,240,0
2026-02-19 05:05:00,4988.059,4990.53,4987.027,4990.442,436,240,0
2026-02-19 05:10:00,4990.383,4993.372,4989.885,4990.331,456,240,0
2026-02-19 05:15:00,4990.339,4990.567,4987.958,4989.299,346,240,0
2026-02-19 05:20:00,4989.288,4989.757,4987.75,4988.796,339,240,0
2026-02-19 05:25:00,4989.014,4990.312,4987.434,4989.301,341,240,0
2026-02-19 05:30:00,4989.093,4992.427,4988.956,4992.053,340,240,0
2026-02-19 05:35:00,4991.962,4994.699,4991.865,4993.599,357,240,0
2026-02-19 05:40:00,4993.767,4996.351,4992.873,4995.982,380,240,0
2026-02-19 05:45:00,4996.016,4998.498,4995.551,4996.452,470,240,0
2026-02-19 05:50:00,4996.227,4998.136,4995.87,4996.837,385,240,0
2026-02-19 05:55:00,4996.977,4998.07,4995.508,4997.064,392,240,0
2026-02-19 06:00:00,4996.936,4999.631,4996.767,4999.488,390,240,0
2026-02-19 06:05:00,4999.496,5000.036,4996.712,4998.636,374,240,0
2026-02-19 06:10:00,4998.623,4999.695,4997.488,4999.018,303,240,0
2026-02-19 06:15:00,4999.018,5000.994,4997.942,4999.919,384,160,0
2026-02-19 06:20:00,5000.159,5000.432,4997.31,4998.994,354,176,0
2026-02-19 06:25:00,4998.85,5002.264,4998.643,5001.267,395,160,0
2026-02-19 06:30:00,5001.194,5007.626,5000.896,5007.616,539,160,0
2026-02-19 06:35:00,5007.603,5008.729,5007.323,5007.875,381,176,0
2026-02-19 06:40:00,5007.881,5010.623,5007.533,5008.962,416,240,0
2026-02-19 06:45:00,5009.276,5016.259,5009.195,5015.733,747,240,0
2026-02-19 06:50:00,5015.721,5019.784,5014.301,5017.659,756,240,0
2026-02-19 06:55:00,5017.691,5020.127,5017.025,5018.292,577,240,0
2026-02-19 07:00:00,5018.37,5020.221,5017.653,5020.186,634,240,0
2026-02-19 07:05:00,5020.006,5021.688,5017.17,5020.781,564,240,0
2026-02-19 07:10:00,5020.92,5021.711,5017.454,5017.98,581,240,0
2026-02-19 07:15:00,5017.912,5019.835,5015.564,5016.814,506,240,0
2026-02-19 07:20:00,5016.738,5017.127,5014.918,5016.483,379,240,0
2026-02-19 07:25:00,5016.459,5019.986,5015.741,5017.672,453,240,0
2026-02-19 07:30:00,5017.817,5020.272,5017.396,5018.583,386,240,0
2026-02-19 07:35:00,5018.518,5019.982,5016.865,5017.332,345,240,0
2026-02-19 07:40:00,5017.331,5017.613,5014.687,5015.468,412,240,0
2026-02-19 07:45:00,5015.461,5016.196,5013.332,5015.328,550,240,0
2026-02-19 07:50:00,5015.472,5017.042,5014.243,5014.707,423,240,0
2026-02-19 07:55:00,5014.665,5014.744,5008.72,5010.363,607,240,0
2026-02-19 08:00:00,5010.29,5011.291,5006.674,5008.547,706,240,0
2026-02-19 08:05:00,5008.542,5010.779,5006.094,5010.354,665,240,0
2026-02-19 08:10:00,5010.36,5012.13,5009.078,5011.491,547,240,0
2026-02-19 08:15:00,5011.545,5014.268,5009.126,5013.17,553,240,0
2026-02-19 08:20:00,5013.196,5014.237,5012.303,5013.721,504,240,0
2026-02-19 08:25:00,5013.504,5014.798,5011.512,5014.708,449,240,0
2026-02-19 08:30:00,5014.653,5015.309,5011.506,5012.113,418,240,0
2026-02-19 08:35:00,5012.075,5015.604,5010.317,5015.604,443,240,0
2026-02-19 08:40:00,5015.438,5020.051,5014.754,5019.774,429,240,0
2026-02-19 08:45:00,5019.766,5022.029,5018.045,5019.994,624,240,0
2026-02-19 08:50:00,5019.949,5020.714,5013.621,5016.553,564,240,0
2026-02-19 08:55:00,5016.503,5017.78,5014.801,5017.083,487,240,0
2026-02-19 09:00:00,5017.041,5017.827,5015.733,5016.533,531,240,0
2026-02-19 09:05:00,5016.439,5019.103,5015.958,5018.891,398,240,0
2026-02-19 09:10:00,5018.885,5020.053,5017.538,5019.27,407,240,0
2026-02-19 09:15:00,5019.221,5020.443,5013.284,5013.914,683,240,0
2026-02-19 09:20:00,5013.992,5014.682,5009.285,5010.588,702,240,0
2026-02-19 09:25:00,5010.621,5010.696,4999.871,5000.726,1067,240,0
2026-02-19 09:30:00,5000.714,5005.706,4999.556,5001.787,874,240,0
2026-02-19 09:35:00,5001.797,5001.797,4992.874,4999.811,1018,240,0
2026-02-19 09:40:00,5000.013,5003.836,4998.752,5003.428,478,240,0
2026-02-19 09:45:00,5003.349,5004.456,5002.136,5002.727,429,240,0
2026-02-19 09:50:00,5002.613,5005.207,5001.494,5001.801,506,240,0
2026-02-19 09:55:00,5001.612,5001.914,4995.503,4995.787,494,240,0
2026-02-19 10:00:00,4995.74,4996.196,4988.771,4991.627,1103,240,0
2026-02-19 10:05:00,4991.703,4994.047,4985.556,4990.383,910,240,0
2026-02-19 10:10:00,4990.382,4990.382,4983.327,4989.181,908,240,0
2026-02-19 10:15:00,4989.389,4991.636,4987.071,4989.742,591,240,0
2026-02-19 10:20:00,4989.765,4991.497,4988.987,4990.643,457,160,0
2026-02-19 10:25:00,4990.883,4991.526,4985.049,4986.685,571,176,0
2026-02-19 10:30:00,4986.612,4993.366,4981.505,4992.444,986,240,0
2026-02-19 10:35:00,4992.425,4995.059,4990.191,4994.269,648,240,0
2026-02-19 10:40:00,4994.134,4994.827,4988.313,4988.628,551,240,0
2026-02-19 10:45:00,4988.707,4990.999,4987.836,4990.249,475,240,0
2026-02-19 10:50:00,4989.99,4991.858,4988.308,4989.815,377,240,0
2026-02-19 10:55:00,4989.634,4993.411,4988.82,4993.309,426,160,0
2026-02-19 11:00:00,4993.105,4993.255,4989.333,4991.714,416,176,0
2026-02-19 11:05:00,4991.67,4994.553,4989.739,4994.107,404,160,0
2026-02-19 11:10:00,4994.116,4996.34,4992.341,4992.743,541,240,0
2026-02-19 11:15:00,4992.836,4994.207,4978.072,4987.404,1177,160,0
2026-02-19 11:20:00,4987.282,4990.289,4985.982,4986.367,625,240,0
2026-02-19 11:25:00,4986.294,4987.165,4983.333,4984.786,688,160,0
2026-02-19 11:30:00,4984.865,4987.137,4982.625,4985.724,548,240,0
2026-02-19 11:35:00,4985.71,4986.048,4983.609,4984.605,454,240,0
2026-02-19 11:40:00,4984.605,4986.49,4981.701,4982.669,631,240,0
2026-02-19 11:45:00,4982.658,4985.858,4981.557,4985.662,570,240,0
2026-02-19 11:50:00,4985.765,4986.158,4978.049,4983.245,893,240,0
2026-02-19 11:55:00,4983.051,4986.161,4982.403,4984.696,521,240,0
2026-02-19 12:00:00,4984.62,4986.494,4980.541,4986.279,782,240,0
2026-02-19 12:05:00,4986.236,4990.182,4982.605,4983.702,609,176,0
2026-02-19 12:10:00,4983.7,4988.326,4981.248,4988.326,672,240,0
2026-02-19 12:15:00,4988.306,4989.113,4984.881,4985.2,341,240,0
2026-02-19 12:20:00,4985.217,4988.094,4984.543,4986.525,506,240,0
2026-02-19 12:25:00,4986.593,4992.131,4985.705,4991.928,490,240,0
2026-02-19 12:30:00,4992.001,4992.792,4987.876,4988.527,631,176,0
2026-02-19 12:35:00,4988.532,4989.168,4983.361,4984.868,656,240,0
2026-02-19 12:40:00,4984.749,4987.532,4983.94,4986.416,690,240,0
2026-02-19 12:45:00,4986.444,4987.529,4981.835,4982.003,565,240,0
2026-02-19 12:50:00,4981.902,4985.501,4980.739,4983.16,487,240,0
2026-02-19 12:55:00,4983.09,4985.955,4983.019,4984.697,382,240,0
2026-02-19 13:00:00,4984.78,4985.572,4974.364,4983.26,1137,240,0
2026-02-19 13:05:00,4983.181,4986.204,4981.113,4983.063,718,240,0
2026-02-19 13:10:00,4983.157,4984.983,4980.708,4983.898,533,240,0
2026-02-19 13:15:00,4983.879,4985.626,4981.672,4983.688,571,240,0
2026-02-19 13:20:00,4983.58,4986.938,4979.671,4983.596,1149,160,0
2026-02-19 13:25:00,4983.605,4987.669,4983.323,4984.578,685,160,0
